https://github.com/jhirschberg70/browser-based-umoria/blob/9074b1bb8785900489c1cf13920a5d455eba5120/src/data_player.cpp#L292
Mage
00        {  1,  1, 22,   1},
01        {  1,  1, 23,   1},
02        {  1,  2, 24,   1},
03        {  1,  2, 26,   1},
04        {  3,  3, 25,   2},
05        {  3,  3, 25,   1},
06        {  3,  3, 27,   2},
07        {  3,  4, 30,   1},
08        {  5,  4, 30,   6},
09        {  5,  5, 30,   8},
10        {  5,  5, 30,   5},
11        {  5,  5, 35,   6},
12        {  7,  6, 35,   9},
13        {  7,  6, 50,  10},
14        {  7,  6, 40,  12},
15        {  9,  7, 44,  19},
16        {  9,  7, 45,  19},
17        {  9,  7, 75,  22},
18        {  9,  7, 45,  19},
19        { 11,  7, 45,  25},
20        { 11,  7, 99,  19},
21        { 13,  7, 50,  22},
22        { 15,  9, 50,  25},
23        { 17,  9, 50,  31},
24        { 19, 12, 55,  38},
25        { 21, 12, 90,  44},
26        { 23, 12, 60,  50},
27        { 25, 12, 65,  63},
28        { 29, 18, 65,  88},
29        { 33, 21, 80, 125},
30        { 37, 25, 95, 200},

Priest
 00       {  1,  1, 10,   1},
 01       {  1,  2, 15,   1},
 02       {  1,  2, 20,   1},
 03       {  1,  2, 25,   1},
 04       {  3,  2, 25,   1},
 05       {  3,  3, 27,   2},
 06       {  3,  3, 27,   2},
 07       {  3,  3, 28,   3},
 08       {  5,  4, 29,   4},
 09       {  5,  4, 30,   5},
 10       {  5,  4, 32,   5},
 11       {  5,  5, 34,   5},
 12       {  7,  5, 36,   6},
 13       {  7,  5, 38,   7},
 14       {  7,  6, 38,   9},
 15       {  7,  7, 38,   9},
 16       {  9,  6, 38,  10},
 17       {  9,  7, 38,  10},
 18       {  9,  7, 40,  10},
 19       { 11,  8, 42,  10},
 20       { 11,  8, 42,  12},
 21       { 11,  9, 55,  15},
 22       { 13, 10, 45,  15},
 23       { 13, 11, 45,  16},
 24       { 15, 12, 50,  20},
 25       { 15, 14, 50,  22},
 26       { 17, 14, 55,  32},
 27       { 21, 16, 60,  38},
 28       { 25, 20, 70,  75},
 29       { 33, 24, 90, 125},
 30       { 39, 32, 80, 200},

 Rogue
 00       { 99, 99,  0,   0},
 01       {  5,  1, 50,   1},
 02       {  7,  2, 55,   1},
 03       {  9,  3, 60,   2},
 04       { 11,  4, 65,   2},
 05       { 13,  5, 70,   3},
 06       { 99, 99,  0,   0},
 07       { 15,  6, 75,   3},
 08       { 99, 99,  0,   0},
 09       { 17,  7, 80,   4},
 10       { 19,  8, 85,   5},
 11       { 21,  9, 90,   6},
 12       { 99, 99,  0,   0},
 13       { 23, 10, 95,   7},
 14       { 99, 99,  0,   0},
 15       { 99, 99,  0,   0},
 16       { 25, 12, 95,   9},
 17       { 27, 15, 99,  11},
 18       { 99, 99,  0,   0},
 19       { 99, 99,  0,   0},
 20       { 29, 18, 99,  19},
 21       { 99, 99,  0,   0},
 22       { 99, 99,  0,   0},
 23       { 99, 99,  0,   0},
 24       { 99, 99,  0,   0},
 25       { 99, 99,  0,   0},
 26       { 99, 99,  0,   0},
 27       { 99, 99,  0,   0},
 28       { 99, 99,  0,   0},
 29       { 99, 99,  0,   0},
 30       { 99, 99,  0,   0},

Ranger
00        {  3,  1, 30,   1},
01        {  3,  2, 35,   2},
02        {  3,  2, 35,   2},
03        {  5,  3, 35,   2},
04        {  5,  3, 40,   2},
05        {  5,  4, 45,   3},
06        {  7,  5, 40,   6},
07        {  7,  6, 40,   5},
08        {  9,  7, 40,   7},
09        {  9,  8, 45,   8},
10        { 11,  8, 40,  10},
11        { 11,  9, 45,  10},
12        { 13, 10, 45,  12},
13        { 13, 11, 55,  13},
14        { 15, 12, 50,  15},
15        { 15, 13, 50,  15},
16        { 17, 17, 55,  15},
17        { 17, 17, 90,  17},
18        { 21, 17, 55,  17},
19        { 21, 19, 60,  18},
20        { 23, 25, 95,  20},
21        { 23, 20, 60,  20},
22        { 25, 20, 60,  20},
23        { 25, 21, 65,  20},
24        { 27, 21, 65,  22},
25        { 29, 23, 95,  23},
26        { 31, 25, 70,  25},
27        { 33, 25, 75,  38},
28        { 35, 25, 80,  50},
29        { 37, 30, 95, 100},
30        { 99, 99,  0,   0},

Paladin
00        {  1,  1, 30,   1},
01        {  2,  2, 35,   2},
02        {  3,  3, 35,   3},
03        {  5,  3, 35,   5},
04        {  5,  4, 35,   5},
05        {  7,  5, 40,   6},
06        {  7,  5, 40,   6},
07        {  9,  7, 40,   7},
08        {  9,  7, 40,   8},
09        {  9,  8, 40,   8},
10        { 11,  9, 40,  10},
11        { 11, 10, 45,  10},
12        { 11, 10, 45,  10},
13        { 13, 10, 45,  12},
14        { 13, 11, 45,  13},
15        { 15, 13, 45,  15},
16        { 15, 15, 50,  15},
17        { 17, 15, 50,  17},
18        { 17, 15, 50,  18},
19        { 19, 15, 50,  19},
20        { 19, 15, 50,  19},
21        { 21, 17, 50,  20},
22        { 23, 17, 50,  20},
23        { 25, 20, 50,  20},
24        { 27, 21, 50,  22},
25        { 29, 22, 50,  24},
26        { 31, 24, 60,  25},
27        { 33, 28, 60,  31},
28        { 35, 32, 70,  38},
29        { 37, 36, 90,  50},
30        { 39, 38, 90, 100},
